CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU76020_282;48;41.6667;-63.5;-175;10;07-jul-76;08:30:00;NaN;NaN;0.03;0.03;2.06
18HU76020_282;48;41.6667;-63.5;-176;30;07-jul-76;08:30:00;35.88;4.6;0.04;0.07;2.37
18HU76020_282;48;41.6667;-63.5;-177;40;07-jul-76;08:30:00;36.21;4.4;1.62;NaN;NaN
18HU76020_282;48;41.6667;-63.5;-178;50;07-jul-76;08:30:00;36.4;4;4.22;0.31;3.86
18HU76020_282;48;41.6667;-63.5;-179;75;07-jul-76;08:30:00;36.53;3.3;8.11;0.45;4.59
18HU76020_282;48;41.6667;-63.5;-180;100;07-jul-76;08:30:00;36.25;3.6;7.5;0.54;5.29
18HU76020_282;48;41.6667;-63.5;-181;125;07-jul-76;08:30:00;36.22;3.7;9;0.6;5.15
18HU76020_282;48;41.6667;-63.5;-182;150;07-jul-76;08:30:00;NaN;NaN;10.54;0.67;6.34
18HU76020_283;49;41.5;-63.5;-183;10;07-jul-76;10:21:00;35.82;4.6;0.01;0.03;1.91
18HU76020_283;49;41.5;-63.5;-184;30;07-jul-76;10:21:00;35.91;4.5;0.12;NaN;1.89
18HU76020_283;49;41.5;-63.5;-185;40;07-jul-76;10:21:00;35.87;4.5;0.23;NaN;1.58
18HU76020_283;49;41.5;-63.5;-186;50;07-jul-76;10:21:00;36.06;4.6;1.2;0.16;2.75
18HU76020_283;49;41.5;-63.5;-187;75;07-jul-76;10:21:00;36.32;3.5;6.99;0.52;7.19
18HU76020_283;49;41.5;-63.5;-188;100;07-jul-76;10:21:00;36.07;3.6;7.45;0.52;5.54
18HU76020_283;49;41.5;-63.5;-189;125;07-jul-76;10:21:00;36.08;3.4;11.16;0.7;6.41
18HU76020_283;49;41.5;-63.5;-190;150;07-jul-76;10:21:00;36.01;3.6;13.67;0.71;6.75
18HU76020_284;5;42.6667;-64;-26;10;30-jun-76;22:33:00;31.46;6.3;0.21;0.27;2.15
18HU76020_284;5;42.6667;-64;-27;20;30-jun-76;22:33:00;31.71;6.4;0.6;0.34;1.81
18HU76020_284;5;42.6667;-64;-28;30;30-jun-76;22:33:00;32.24;6.8;0.15;0.34;1.45
18HU76020_284;5;42.6667;-64;-29;50;30-jun-76;22:33:00;32.47;6.8;6.53;0.84;6.18
18HU76020_284;5;42.6667;-64;-30;75;30-jun-76;22:33:00;32.69;6.1;8.53;0.94;9.12
18HU76020_284;5;42.6667;-64;-31;100;30-jun-76;22:33:00;33.17;5.5;14.26;1.19;13.35
18HU76020_284;5;42.6667;-64;-32;125;30-jun-76;22:33:00;33.91;4.5;18.12;1.37;13.2
18HU76020_284;5;42.6667;-64;-33;150;30-jun-76;22:33:00;34.62;3.9;17.05;1.23;13.45
18HU76020_285;50;41.505;-63.3067;-191;10;07-jul-76;11:53:00;35.91;4.2;0.06;0.02;2.71
18HU76020_285;50;41.505;-63.3067;-192;30;07-jul-76;11:53:00;35.96;4.3;0.03;0.02;2.06
18HU76020_285;50;41.505;-63.3067;-193;40;07-jul-76;11:53:00;36;4.1;0.04;0.04;2.4
18HU76020_285;50;41.505;-63.3067;-194;50;07-jul-76;11:53:00;36.47;4.4;0.04;0.03;1.67
18HU76020_285;50;41.505;-63.3067;-195;75;07-jul-76;11:53:00;35.72;4;4.7;0.27;3.44
18HU76020_285;50;41.505;-63.3067;-196;100;07-jul-76;11:53:00;36.26;3.3;8;0.61;6.41
18HU76020_285;50;41.505;-63.3067;-197;125;07-jul-76;11:53:00;36.09;3.5;8.88;0.66;6.7
18HU76020_285;50;41.505;-63.3067;-198;150;07-jul-76;11:53:00;36.13;3.3;9.28;0.72;7.77
18HU76020_295;51;43.005;-63;-199;10;07-jul-76;21:14:00;31.64;5.4;0.07;0.43;1.36
18HU76020_295;51;43.005;-63;-200;30;07-jul-76;21:14:00;33.34;5.9;0.05;0.42;1.85
18HU76020_295;51;43.005;-63;-201;40;07-jul-76;21:14:00;32.46;6.4;0.45;0.44;2.35
