CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18NA96022_261;CAST#1;45.894;-60.9085;175780;5;25-sep-96;11:53:00;21.689;13.968;6.117;4.63;0.125;0.2045;0.055;1.3617
18NA96022_263;CAST#1;45.9167;-60.962;175781;10;25-sep-96;12:22:00;21.993;13.688;5.825;4.785;0.273;0.3135;0.76;0.7209
18NA96022_263;CAST#1;45.9167;-60.962;175782;5;25-sep-96;12:22:00;21.897;13.831;5.991;4.46;0.1505;0.2035;0.4;1.2015
18NA96022_263;CAST#1;45.9167;-60.962;175783;1;25-sep-96;12:22:00;19.977;13.876;5.96;7.695;0.2415;0.191;0.67;1.2816
18NA96022_264;CAST#1;46.0233;-60.7647;175677;19;22-sep-96;12:35:00;24.584;10.96;5.413;6.09;0.1745;0.5035;2.89;0.2403
18NA96022_264;CAST#1;46.0233;-60.7647;175678;4;22-sep-96;12:35:00;22.628;15.726;4.647;3.54;0.065;0.198;0.06;0.4806
18NA96022_265;CAST#1;45.8738;-61.0717;175784;5;25-sep-96;13:14:00;21.416;15.805;4.96;12.785;0.3125;0.382;1.19;0.7209
18NA96022_265;CAST#1;45.8738;-61.0717;175785;1;25-sep-96;13:14:00;14.958;14.097;6.1;12.97;0.6705;0.2125;1.805;0.4806
18NA96022_275;CAST#1;45.8962;-60.9995;175786;4;25-sep-96;13:44:00;20.357;15.396;5.479;12.49;0.242;0.3205;1.07;3.3642
18NA96022_275;CAST#1;45.8962;-60.9995;175787;1;25-sep-96;13:44:00;11.797;12.227;6.487;15.21;0.259;0.18;1.49;1.0413
18NA96022_276;CAST#1;45.9033;-61.0537;175788;5;25-sep-96;14:20:00;21.943;14.957;4.773;7.85;0.2975;0.3815;0.99;0.4005
18NA96022_276;CAST#1;45.9033;-61.0537;175789;1;25-sep-96;14:20:00;14.727;13.862;6.203;14.64;0.229;0.219;1.12;2.8836
18NA96022_277;CAST#1;45.785;-61.0085;175790;56;25-sep-96;16:17:00;22.328;7.349;5.198;12.01;0.083;0.831;5.145;NaN
18NA96022_277;CAST#1;45.785;-61.0085;175791;15;25-sep-96;16:17:00;21.565;14.431;5.995;3.355;0.104;0.1775;0.295;0.6408
18NA96022_277;CAST#1;45.785;-61.0085;175792;5;25-sep-96;16:17:00;21.483;14.619;6.109;3.225;0.071;0.174;0.14;1.4418
18NA96022_277;CAST#1;45.785;-61.0085;175793;1;25-sep-96;16:17:00;21.459;14.674;6.157;3.15;0.0625;0.1515;0.11;0.6408
18NA96022_278;CAST#1;45.7817;-61.0852;175794;40;25-sep-96;16:52:00;22.017;6.177;4.678;15.335;0.133;0.9075;5.8;NaN
18NA96022_278;CAST#1;45.7817;-61.0852;175795;5;25-sep-96;16:52:00;21.381;14.903;6.114;3.475;0.1395;0.151;0.19;0.8811
18NA96022_278;CAST#1;45.7817;-61.0852;175796;1;25-sep-96;16:52:00;21.108;14.87;6.173;3.71;0.0675;0.1495;0.12;0.801
18NA96022_279;CAST#1;45.7287;-61.098;175797;25;25-sep-96;17:24:00;22.005;9.25;5.057;9.79;0.17;0.617;4.1;0.6408
18NA96022_279;CAST#1;45.7287;-61.098;175798;5;25-sep-96;17:24:00;21.441;14.789;6.132;3.2;0.097;0.178;0.24;0.9612
18NA96022_279;CAST#1;45.7287;-61.098;175799;1;25-sep-96;17:24:00;NaN;NaN;6.126;3.27;0.064;0.156;0.13;1.5219
18NA96022_280;CAST#1;45.8032;-60.912;175800;40;25-sep-96;18:28:00;22.374;7.404;6.05;6.055;0.107;0.4765;2.9;0.1602
18NA96022_280;CAST#1;45.8032;-60.912;175801;25;25-sep-96;18:28:00;22.223;10.319;5.854;5.085;0.155;0.394;2.13;0.3204
18NA96022_280;CAST#1;45.8032;-60.912;175802;5;25-sep-96;18:28:00;21.686;14.516;6.15;2.935;0.0645;0.156;0.16;1.2816
18NA96022_281;CAST#1;45.819;-60.8527;175803;135;25-sep-96;18:53:00;22.565;4.26;6.219;9.69;0.101;0.687;4.48;NaN
18NA96022_281;CAST#1;45.819;-60.8527;175804;99;25-sep-96;18:53:00;22.543;4.564;6.244;8.655;0.084;0.618;4.125;NaN
18NA96022_281;CAST#1;45.819;-60.8527;175805;50;25-sep-96;18:53:00;22.485;5.531;5.731;7.42;0.084;0.546;3.42;NaN
18NA96022_281;CAST#1;45.819;-60.8527;175806;15;25-sep-96;18:53:00;21.815;14.394;6.103;2.635;0.093;0.1795;0.295;1.602
18NA96022_281;CAST#1;45.819;-60.8527;175807;5;25-sep-96;18:53:00;21.8;14.598;6.201;2.84;0.0615;0.1755;0.16;0.801
18NA96022_282;CAST#1;45.848;-60.7647;175808;65;25-sep-96;19:36:00;22.485;5.173;6.181;7.08;0.1;0.5185;3.38;NaN
18NA96022_282;CAST#1;45.848;-60.7647;175809;50;25-sep-96;19:36:00;22.463;5.744;6.161;7.135;0.0855;0.537;3.5;NaN
18NA96022_282;CAST#1;45.848;-60.7647;175810;25;25-sep-96;19:36:00;22.157;11.254;5.881;4.805;0.2385;0.359;1.81;0.3204
18NA96022_282;CAST#1;45.848;-60.7647;175811;5;25-sep-96;19:36:00;21.768;14.539;6.173;2.985;0.0665;0.167;0.295;0.9612
18NA96022_282;CAST#1;45.848;-60.7647;175812;1;25-sep-96;19:36:00;21.772;14.547;6.167;2.845;0.1945;0.155;0.5;0.3204
18NA96022_283;CAST#1;45.8692;-60.8375;175813;40;25-sep-96;20:13:00;22.356;7.298;6.026;6.21;0.1705;0.4695;3.165;NaN
18NA96022_283;CAST#1;45.8692;-60.8375;175814;20;25-sep-96;20:13:00;21.875;13.909;6.046;2.98;0.098;0.187;0.48;1.1214
18NA96022_283;CAST#1;45.8692;-60.8375;175815;5;25-sep-96;20:13:00;21.812;14.534;6.183;2.685;0.0545;0.1555;0.19;0.9612
18NA96022_283;CAST#1;45.8692;-60.8375;175816;1;25-sep-96;20:13:00;21.812;14.53;6.21;2.735;0.07;0.1595;0.22;0.1602
18NA96022_285;CAST#1;45.9215;-60.8268;175817;55;25-sep-96;20:40:00;24.211;12.593;4.563;13.685;0.133;0.89;6.28;NaN
18NA96022_285;CAST#1;45.9215;-60.8268;175818;30;25-sep-96;20:40:00;23;14.117;5.74;4.815;0.2435;0.3175;1.47;0.4806
18NA96022_285;CAST#1;45.9215;-60.8268;175819;5;25-sep-96;20:40:00;21.857;13.905;6.193;3.43;0.1455;0.191;0.28;0.4005
