CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU05656_297;FC-04;47;-52.3217;260764;100;07-dec-05;01:29:00;100.52;33;7.31079265562024;-0.96;9.19;0.85;9.31;0.04
18HU05656_297;FC-04;47;-52.3217;260765;76;07-dec-05;01:29:00;76.15;32.77;7.5705329153605;-0.99;8.11;0.85;9.16;0.04
18HU05656_297;FC-04;47;-52.3217;260766;49;07-dec-05;01:29:00;49.88;32.41;7.16972682489924;2.06;4;0.52;3.31;0.11
18HU05656_297;FC-04;47;-52.3217;260767;40;07-dec-05;01:29:00;40.07;31.88;6.90103000447828;4.91;2.68;0.36;0.54;0.59
18HU05656_297;FC-04;47;-52.3217;260768;30;07-dec-05;01:29:00;30.09;31.88;6.90103000447828;4.91;2.14;0.3;0.59;0.61
18HU05656_297;FC-04;47;-52.3217;260769;20;07-dec-05;01:29:00;20.3;31.88;6.90103000447828;4.91;2.11;0.3;0.57;0.6
18HU05656_297;FC-04;47;-52.3217;260770;10;07-dec-05;01:29:00;10.18;31.88;6.90998656515898;4.9;2.31;0.31;0.56;0.62
18HU05656_297;FC-04;47;-52.3217;260771;5;07-dec-05;01:29:00;5.05;31.88;6.91894312583968;4.9;1.75;0.28;0.68;0.63
18HU05656_298;FC-03;47;-52.58;260772;152;07-dec-05;03:28:00;153.51;33.33;6.58083296014331;-0.5;16.53;1.08;12.64;NaN
18HU05656_298;FC-03;47;-52.58;260773;99;07-dec-05;03:28:00;99.99;32.78;7.55933721450963;-0.99;7.84;0.87;9.67;0.07
18HU05656_298;FC-03;47;-52.58;260774;76;07-dec-05;03:28:00;76.64;32.6;7.5794894760412;-0.21;5.93;0.79;6.35;0.06
18HU05656_298;FC-03;47;-52.58;260775;50;07-dec-05;03:28:00;49.91;32.44;7.08911777877295;2.69;3.55;0.5;2.79;0.12
18HU05656_298;FC-03;47;-52.58;260776;40;07-dec-05;03:28:00;39.89;32.09;7.06000895656068;3.7;2.63;0.37;1.25;0.57
18HU05656_298;FC-03;47;-52.58;260777;30;07-dec-05;03:28:00;29.98;31.95;7.05105239587998;3.97;2.75;0.37;1;0.86
18HU05656_298;FC-03;47;-52.58;260778;19;07-dec-05;03:28:00;19.59;31.95;7.06000895656068;3.97;2.84;0.38;1.01;0.88
18HU05656_298;FC-03;47;-52.58;260779;10;07-dec-05;03:28:00;10.04;31.94;7.06896551724138;3.96;2.96;0.4;0.94;0.85
18HU05656_298;FC-03;47;-52.58;260780;5;07-dec-05;03:28:00;5.37;31.94;7.08016121809225;3.96;2.74;0.37;1.02;0.86
18HU05656_299;FC-02;47;-52.705;260781;182;07-dec-05;04:37:00;183.03;33.36;6.56963725929243;-0.43;NaN;NaN;NaN;NaN
18HU05656_300;FC-01;47;-52.8317;260782;97;07-dec-05;05:28:00;97.69;32.7;7.36005373936408;0.19;5.59;0.67;5.36;0.07
18HU05656_300;FC-01;47;-52.8317;260783;76;07-dec-05;05:28:00;76.49;32.59;7.21898790864308;1.44;5.61;0.71;5.27;0.08
18HU05656_300;FC-01;47;-52.8317;260784;51;07-dec-05;05:28:00;51.74;32.44;7.12942230183609;2.52;4.15;0.56;2.97;0.11
18HU05656_300;FC-01;47;-52.8317;260785;41;07-dec-05;05:28:00;41.77;32.26;7.08016121809225;3.14;3.77;0.48;2.41;0.14
18HU05656_300;FC-01;47;-52.8317;260786;31;07-dec-05;05:28:00;31.45;32.16;7.05105239587998;3.37;3.61;0.45;2.11;0.16
18HU05656_300;FC-01;47;-52.8317;260787;21;07-dec-05;05:28:00;21.22;32.03;7.01970443349754;3.64;3.83;0.48;2.52;0.19
18HU05656_300;FC-01;47;-52.8317;260788;11;07-dec-05;05:28:00;11.42;32;7.01970443349754;3.65;3.38;0.38;1.72;0.19
18HU05656_300;FC-01;47;-52.8317;260789;7;07-dec-05;05:28:00;6.7;32;7.03090013434841;3.64;3.46;0.42;1.79;0.19
18HU05656_301;STN27;47.5467;-52.5867;260790;171;07-dec-05;09:55:00;172.28;33.36;6.4397671294223;-0.34;16.77;1.06;12.45;NaN
18HU05656_301;STN27;47.5467;-52.5867;260791;148;07-dec-05;09:55:00;149.7;33.11;6.93013882669055;-0.61;11.78;1.03;11.15;0.04
18HU05656_301;STN27;47.5467;-52.5867;260792;99;07-dec-05;09:55:00;100.27;32.64;7.23018360949395;0.96;5.34;0.66;5.31;0.09
18HU05656_301;STN27;47.5467;-52.5867;260793;75;07-dec-05;09:55:00;75.47;32.43;7.08016121809225;2.8;4.04;0.48;2.9;0.11
18HU05656_301;STN27;47.5467;-52.5867;260794;50;07-dec-05;09:55:00;50.07;31.96;6.9704433497537;4.1;3.7;0.44;2.5;0.26
18HU05656_301;STN27;47.5467;-52.5867;260795;40;07-dec-05;09:55:00;40.61;31.69;6.88983430362741;4.78;3.48;0.48;1.15;0.6
18HU05656_301;STN27;47.5467;-52.5867;260796;30;07-dec-05;09:55:00;29.98;31.64;6.84057321988357;4.95;3.22;0.39;0.94;0.77
18HU05656_301;STN27;47.5467;-52.5867;260797;20;07-dec-05;09:55:00;19.84;31.64;6.84952978056426;4.95;2.96;0.35;1.02;0.74
18HU05656_301;STN27;47.5467;-52.5867;260798;9;07-dec-05;09:55:00;9.29;31.64;6.84952978056426;4.95;2.66;0.31;0.78;0.78
18HU05656_301;STN27;47.5467;-52.5867;260799;5;07-dec-05;09:55:00;4.74;31.64;6.84952978056426;4.94;3.36;0.45;1.14;0.74
18HU05656_304;SEGB-05;46.07;-52.5;260525;85;29-nov-05;08:55:00;85.57;33.17;6.67935512763099;-0.66;12.68;0.86;11.57;0.06
18HU05656_304;SEGB-05;46.07;-52.5;260526;75;29-nov-05;08:55:00;75.34;32.99;6.00089565606807;0.18;12.85;0.9;9.92;0.08
18HU05656_304;SEGB-05;46.07;-52.5;260527;50;29-nov-05;08:55:00;50.41;32.85;6.52933273622929;0.4;9.82;0.76;7.66;0.15
