CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;SSAL_XX;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3)
18PZ94029_114;CAST#1;42.5333;-61.3983;123905;100;29-oct-94;12:55:00;35.914;14.943;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123906;100;29-oct-94;12:55:00;35.914;14.943;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123907;100;29-oct-94;12:55:00;35.914;14.943;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123908;100;29-oct-94;12:55:00;35.914;14.943;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123909;100;29-oct-94;12:55:00;35.914;14.943;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123910;100;29-oct-94;12:55:00;35.914;14.943;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;20;42.53333;-61.4;123911;500;29-oct-94;15:33:00;34.98;5.66;NaN;35.031;13.8815;1.4055;21.7795
18PZ94029_114;CAST#1;42.5333;-61.3983;123911;500;29-oct-94;12:55:00;34.98;5.66;NaN;35.031;13.8815;1.4055;21.7795
18PZ94029_114;20;42.53333;-61.4;123912;300;29-oct-94;15:33:00;35.155;9.011;NaN;35.229;12.531;1.471;22.373
18PZ94029_114;CAST#1;42.5333;-61.3983;123912;300;29-oct-94;12:55:00;35.155;9.011;NaN;35.229;12.531;1.471;22.373
18PZ94029_114;CAST#1;42.5333;-61.3983;123913;200;29-oct-94;12:55:00;35.499;11.864;NaN;35.578;9.3975;1.23;19.2345
18PZ94029_114;20;42.53333;-61.4;123913;200;29-oct-94;15:33:00;35.499;11.864;NaN;35.578;9.3975;1.23;19.2345
18PZ94029_114;20;42.53333;-61.4;123914;100;29-oct-94;15:33:00;35.914;14.943;NaN;36.001;5.3335;0.849;13.2525
18PZ94029_114;CAST#1;42.5333;-61.3983;123914;100;29-oct-94;12:55:00;35.914;14.943;NaN;36.001;5.3335;0.849;13.2525
18PZ94029_114;CAST#1;42.5333;-61.3983;123915;50;29-oct-94;12:55:00;34.139;11.301;NaN;33.883;4.863;0.7465;6.754
18PZ94029_114;20;42.53333;-61.4;123915;50;29-oct-94;15:33:00;34.139;11.301;NaN;33.883;4.863;0.7465;6.754
18PZ94029_114;20;42.53333;-61.4;123916;20;29-oct-94;15:33:00;33.924;15.285;NaN;33.485;1.412;0.261;0.226
18PZ94029_114;CAST#1;42.5333;-61.3983;123916;20;29-oct-94;12:55:00;33.924;15.285;NaN;33.485;1.412;0.261;0.226
18PZ94029_114;CAST#1;42.5333;-61.3983;123917;2000;29-oct-94;12:55:00;34.923;3.448;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123918;100;29-oct-94;12:55:00;35.914;14.943;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123919;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123920;10;29-oct-94;12:55:00;33.284;14.199;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123921;7;29-oct-94;12:55:00;33.229;14.585;NaN;NaN;1.252;0.2335;0.129
18PZ94029_114;CAST#1;42.5333;-61.3983;123922;7;29-oct-94;12:55:00;33.229;14.585;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123923;7;29-oct-94;12:55:00;33.229;14.585;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123924;7;29-oct-94;12:55:00;33.229;14.585;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123925;7;29-oct-94;12:55:00;33.229;14.585;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123926;7;29-oct-94;12:55:00;33.229;14.585;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123927;7;29-oct-94;12:55:00;33.229;14.585;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123928;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;1.3675;0.2215;0.174
18PZ94029_114;CAST#1;42.5333;-61.3983;123929;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123930;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123931;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123932;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123933;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_114;CAST#1;42.5333;-61.3983;123934;20;29-oct-94;12:55:00;33.924;15.285;NaN;NaN;NaN;NaN;NaN
18PZ94029_127;CAST#1;42.0017;-60.7967;123935;4000;30-oct-94;04:50:00;34.882;2.327;NaN;NaN;NaN;NaN;NaN
18PZ94029_127;CAST#1;42.0017;-60.7967;123936;200;30-oct-94;04:50:00;35.683;13.25;NaN;NaN;NaN;NaN;NaN
18PZ94029_127;CAST#1;42.0017;-60.7967;123937;40;30-oct-94;04:50:00;35.486;19.247;NaN;NaN;NaN;NaN;NaN
18PZ94029_127;CAST#1;42.0017;-60.7967;123938;20;30-oct-94;04:50:00;35.486;19.244;NaN;NaN;NaN;NaN;NaN
