CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;TEMP_XX;PO4_01;NOx_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18VA69002_1784;33;47.4083;-59.65;101;200;21-jun-69;00:00:00;180.873;5.43;1.53;18.86;16.85
18VA69002_1784;33;47.4083;-59.65;102;300;21-jun-69;00:00:00;199.1836;5.29;1.42;20.98;18.21
18VA69002_1784;33;47.4083;-59.65;103;400;21-jun-69;00:00:00;177.3002;4.58;1.64;16.91;19.58
18VA69002_1784;33;47.4083;-59.65;33_93;0;21-jun-69;00:00:00;308.6006;6.96;0.35;0.2;1
18VA69002_1784;33;47.4083;-59.65;33_94;5;21-jun-69;00:00:00;263.9406;6.94;0.35;0.3;0.59
18VA69002_1784;33;47.4083;-59.65;33_95;15;21-jun-69;00:00:00;329.5908;6.65;0.45;0.76;1.34
18VA69002_1784;33;47.4083;-59.65;33_96;25;21-jun-69;00:00:00;356.8334;2.05;0.53;2.19;1.07
18VA69002_1784;33;47.4083;-59.65;33_97;50;21-jun-69;00:00:00;331.8238;1.12;0.76;4.86;3.52
18VA69002_1784;33;47.4083;-59.65;33_98;75;21-jun-69;00:00:00;328.6976;0.99;0.75;6.64;3.95
18VA69002_1784;33;47.4083;-59.65;33_99;100;21-jun-69;00:00:00;322.8918;1.13;0.84;5.53;4.57
18VA69002_1785;34;47.4083;-59.65;170;0;16-jul-69;00:00:00;307.2608;10.08;0.29;0.17;1.39
18VA69002_1785;34;47.4083;-59.65;171;5;16-jul-69;00:00:00;306.8142;10.03;0.25;0.44;0.69
18VA69002_1785;34;47.4083;-59.65;173;15;16-jul-69;00:00:00;308.6006;9.23;0.29;0.22;0.63
18VA69002_1785;34;47.4083;-59.65;174;25;16-jul-69;00:00:00;340.3092;4.74;0.41;0.28;1.03
18VA69002_1785;34;47.4083;-59.65;176;50;16-jul-69;00:00:00;312.62;1.55;0.73;2.48;2.69
18VA69002_1785;34;47.4083;-59.65;177;75;16-jul-69;00:00:00;326.4646;1.2;0.7;4.02;4.12
