CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PSAL;TE90;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l)
IML-2000-01 Monitorage 2000_2047;22;49.71667;-66.2495;216231;26-feb-00;13:11:00;32.76;1.25;NaN
IML-2000-01 Monitorage 2000_2047;22;49.71667;-66.2495;216232;26-feb-00;13:11:00;32.06;-1.67;NaN
IML-2000-01 Monitorage 2000_2047;22;49.71667;-66.2495;216233;26-feb-00;13:11:00;32.06;-1.67;NaN
IML-2000-01 Monitorage 2000_2047;22;49.71667;-66.2495;216234;26-feb-00;13:11:00;32.06;-1.67;NaN
IML-2000-01 Monitorage 2000_2047;22;49.71667;-66.2495;216235;26-feb-00;13:11:00;32.06;-1.66;NaN
IML-2000-01 Monitorage 2000_2048;23;49.718;-66.253;216236;09-mar-00;11:13:00;34.63;5.28;NaN
IML-2000-01 Monitorage 2000_2048;23;49.718;-66.253;216237;09-mar-00;11:13:00;34.32;4.9;NaN
IML-2000-01 Monitorage 2000_2048;23;49.718;-66.253;216238;09-mar-00;11:13:00;33.63;3.31;NaN
IML-2000-01 Monitorage 2000_2048;23;49.718;-66.253;216239;09-mar-00;11:13:00;32.97;1.57;NaN
IML-2000-01 Monitorage 2000_2048;23;49.718;-66.253;216240;09-mar-00;11:13:00;32.31;-0.8;NaN
IML-2000-01 Monitorage 2000_2048;23;49.718;-66.253;216241;09-mar-00;11:13:00;32.02;-1.33;NaN
IML-2000-01 Monitorage 2000_2048;23;49.718;-66.253;216242;09-mar-00;11:13:00;31.86;-1.38;NaN
IML-2000-01 Monitorage 2000_2048;23;49.718;-66.253;216243;09-mar-00;11:13:00;31.88;-1.33;NaN
IML-2000-01 Monitorage 2000_2049;24;49.71733;-66.2495;216259;05-may-00;19:27:00;34.59;5.26;97.3588
IML-2000-01 Monitorage 2000_2049;24;49.71733;-66.2495;216260;05-may-00;19:27:00;34.21;4.69;NaN
IML-2000-01 Monitorage 2000_2049;24;49.71733;-66.2495;216261;05-may-00;19:27:00;33.45;2.8;NaN
IML-2000-01 Monitorage 2000_2049;24;49.71733;-66.2495;216262;05-may-00;19:27:00;32.8;1.1;NaN
IML-2000-01 Monitorage 2000_2049;24;49.71733;-66.2495;216263;05-may-00;19:27:00;31.68;0.19;NaN
IML-2000-01 Monitorage 2000_2049;24;49.71733;-66.2495;216264;05-may-00;19:27:00;30.9;2.69;NaN
IML-2000-01 Monitorage 2000_2049;24;49.71733;-66.2495;216265;05-may-00;19:27:00;30.91;2.76;464.464
IML-2000-01 Monitorage 2000_2050;25;49.71433;-66.24733;216273;25-may-00;20:19:00;34.62;5.28;101.6015
IML-2000-01 Monitorage 2000_2050;25;49.71433;-66.24733;216274;25-may-00;20:19:00;34.3;4.84;NaN
IML-2000-01 Monitorage 2000_2050;25;49.71433;-66.24733;216275;25-may-00;20:19:00;33.18;2.11;NaN
IML-2000-01 Monitorage 2000_2050;25;49.71433;-66.24733;216276;25-may-00;20:19:00;32.42;0.2;NaN
IML-2000-01 Monitorage 2000_2050;25;49.71433;-66.24733;216277;25-may-00;20:19:00;31.5;1;NaN
IML-2000-01 Monitorage 2000_2050;25;49.71433;-66.24733;216278;25-may-00;20:19:00;30.36;4.49;NaN
IML-2000-01 Monitorage 2000_2050;25;49.71433;-66.24733;216279;25-may-00;20:19:00;30.35;4.52;NaN
IML-2000-01 Monitorage 2000_2050;25;49.71433;-66.24733;216280;25-may-00;20:19:00;30.35;4.52;350.581
IML-2000-01 Monitorage 2000_2051;26;49.71283;-66.26467;216288;02-jun-00;14:29:00;34.56;5.23;97.5821
IML-2000-01 Monitorage 2000_2051;26;49.71283;-66.26467;216289;02-jun-00;14:29:00;33.95;4.05;NaN
IML-2000-01 Monitorage 2000_2051;26;49.71283;-66.26467;216290;02-jun-00;14:29:00;33.26;2.31;NaN
IML-2000-01 Monitorage 2000_2051;26;49.71283;-66.26467;216291;02-jun-00;14:29:00;32.36;0.02;NaN
IML-2000-01 Monitorage 2000_2051;26;49.71283;-66.26467;216293;02-jun-00;14:29:00;30.76;2.34;NaN
IML-2000-01 Monitorage 2000_2051;26;49.71283;-66.26467;216295;02-jun-00;14:29:00;28.2;7.39;331.6005
IML-2000-01 Monitorage 2000_2052;28;49.71817;-66.25033;227701;05-jul-00;12:12:00;34.6;5.26;92.4462
IML-2000-01 Monitorage 2000_2052;28;49.71817;-66.25033;227702;05-jul-00;12:12:00;34.2;4.62;NaN
IML-2000-01 Monitorage 2000_2052;28;49.71817;-66.25033;227703;05-jul-00;12:12:00;33.22;2.21;NaN
IML-2000-01 Monitorage 2000_2052;28;49.71817;-66.25033;227704;05-jul-00;12:12:00;32.46;0.37;NaN
IML-2000-01 Monitorage 2000_2052;28;49.71817;-66.25033;227705;05-jul-00;12:12:00;32.07;-0.05;NaN
IML-2000-01 Monitorage 2000_2052;28;49.71817;-66.25033;227706;05-jul-00;12:12:00;31.39;1.53;NaN
IML-2000-01 Monitorage 2000_2052;28;49.71817;-66.25033;227707;05-jul-00;12:12:00;29.76;12.9;NaN
IML-2000-01 Monitorage 2000_2052;28;49.71817;-66.25033;227708;05-jul-00;12:12:00;29.74;13.04;286.0473
IML-2000-01 Monitorage 2000_2053;29;49.7185;-66.2495;217108;09-aug-00;23:39:00;34.56;5.21;89.32
IML-2000-01 Monitorage 2000_2053;29;49.7185;-66.2495;217109;09-aug-00;23:39:00;34.06;4.27;NaN
IML-2000-01 Monitorage 2000_2053;29;49.7185;-66.2495;217110;09-aug-00;23:39:00;33.36;2.52;NaN
IML-2000-01 Monitorage 2000_2053;29;49.7185;-66.2495;217111;09-aug-00;23:39:00;32.94;1.47;NaN
IML-2000-01 Monitorage 2000_2053;29;49.7185;-66.2495;217112;09-aug-00;23:39:00;32.24;0.06;NaN
IML-2000-01 Monitorage 2000_2053;29;49.7185;-66.2495;217113;09-aug-00;23:39:00;31.86;0.3;NaN
IML-2000-01 Monitorage 2000_2053;29;49.7185;-66.2495;217114;09-aug-00;23:39:00;29.71;12.53;NaN
IML-2000-01 Monitorage 2000_2053;29;49.7185;-66.2495;217115;09-aug-00;23:39:00;29.62;13.3;291.8531
