CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU00001_127;SEGB-17;42.5883;-49.6833;222216;1493;03-nov-00;10:01:00;1499.73;295.2;11.89;0.67;17.55;NaN;NaN
18HU00001_127;SEGB-17;42.5883;-49.6833;222217;151;03-nov-00;10:01:00;152.65;249.2006;11.46;0.79;19.03;NaN;NaN
18HU00001_127;SEGB-17;42.5883;-49.6833;222218;102;03-nov-00;10:01:00;102.76;284.9283;10.54;0.62;15.34;0.05;0.04
18HU00001_127;SEGB-17;42.5883;-49.6833;222219;75;03-nov-00;10:01:00;76;309.0444;7.14;0.5;10.68;0.07;0.05
18HU00001_127;SEGB-17;42.5883;-49.6833;222220;51;03-nov-00;10:01:00;51.22;328.6947;2.72;0.09;4.46;0.28;0.25
18HU00001_127;SEGB-17;42.5883;-49.6833;222221;41;03-nov-00;10:01:00;41.01;328.6947;2.24;0.03;3.34;0.46;0.42
18HU00001_127;SEGB-17;42.5883;-49.6833;222227;31;03-nov-00;10:01:00;31.02;330.9276;1.53;0;1.7;1.05;0.86
18HU00001_127;SEGB-17;42.5883;-49.6833;222228;21;03-nov-00;10:01:00;21.34;326.4617;0.7;0;0;0.49;0.43
18HU00001_127;SEGB-17;42.5883;-49.6833;222229;10;03-nov-00;10:01:00;10.55;320.6559;0.27;0.22;0;0.34;0.31
18HU00001_127;SEGB-17;42.5883;-49.6833;222230;5;03-nov-00;10:01:00;5.38;318.8695;0.23;0.24;0;0.33;0.31
18HU00001_138;SEGB-18;42.395;-49.5183;222231;1506;03-nov-00;13:20:00;1512.85;298.7727;NaN;NaN;NaN;NaN;NaN
18HU00001_138;SEGB-18;42.395;-49.5183;222232;11;03-nov-00;13:20:00;10.83;321.9957;NaN;NaN;NaN;0.33;0.31
18HU00001_284;SEGB-01;46.5833;-52.9333;221513;5;01-nov-00;21:47:00;5.5;334.0538;2.48;0.56;1.24;0.48;0.43
18HU00001_284;SEGB-01;46.5833;-52.9333;221514;10;01-nov-00;21:47:00;10.31;334.0538;1.7;0.49;0.5;1.17;0.99
18HU00001_284;SEGB-01;46.5833;-52.9333;221515;20;01-nov-00;21:47:00;20.39;334.5004;NaN;NaN;NaN;NaN;NaN
18HU00001_284;SEGB-01;46.5833;-52.9333;221516;30;01-nov-00;21:47:00;30.25;335.8402;NaN;NaN;NaN;NaN;NaN
18HU00001_284;SEGB-01;46.5833;-52.9333;221517;48;01-nov-00;21:47:00;48.87;346.1119;1.67;0.44;0.38;0.83;0.66
18HU00001_304;SEGB-02;46.5;-52.85;221518;170;01-nov-00;22:51:00;171.85;348.7915;NaN;NaN;NaN;NaN;NaN
18HU00001_306;FC-12;47;-48.1167;222363;129;06-nov-00;16:12:00;130.23;309.491;11.89;1.21;8.85;NaN;NaN
18HU00001_306;FC-12;47;-48.1167;222364;102;06-nov-00;16:12:00;102.36;321.9957;10.36;1.28;9.35;0.06;0.05
18HU00001_306;FC-12;47;-48.1167;222365;73;06-nov-00;16:12:00;73.79;348.7915;7.15;1.21;8.54;0.08;0.07
18HU00001_306;FC-12;47;-48.1167;222366;50;06-nov-00;16:12:00;50.5;363.5291;3.65;1.18;6.35;0.28;0.26
18HU00001_306;FC-12;47;-48.1167;222367;40;06-nov-00;16:12:00;40.61;380.4998;1.78;1.41;4.16;0.3;0.27
18HU00001_306;FC-12;47;-48.1167;222368;31;06-nov-00;16:12:00;30.8;379.16;0.86;0.66;1.84;0.3;0.27
18HU00001_306;FC-12;47;-48.1167;222369;21;06-nov-00;16:12:00;21.03;346.5585;0;0.3;0;0.66;0.57
18HU00001_306;FC-12;47;-48.1167;222370;11;06-nov-00;16:12:00;11.48;343.4323;1.31;0.25;0;0.67;0.55
18HU00001_306;FC-12;47;-48.1167;222371;6;06-nov-00;16:12:00;6.11;342.9857;1.02;0.26;0;0.67;0.56
18HU00001_307;FC-11;47;-48.6167;222372;98;06-nov-00;18:50:00;98.91;302.3455;NaN;NaN;NaN;NaN;NaN
18HU00001_308;FC-10;47;-49.1167;222373;74;06-nov-00;20:48:00;74.34;292.5204;15.59;1.34;10.63;0.09;0.05
18HU00001_308;FC-10;47;-49.1167;222374;50;06-nov-00;20:48:00;50.4;302.3455;10.46;1.34;8.33;0.1;0.07
18HU00001_308;FC-10;47;-49.1167;222375;41;06-nov-00;20:48:00;41.17;341.6459;5.66;0.98;5.05;0.25;0.21
18HU00001_308;FC-10;47;-49.1167;222376;31;06-nov-00;20:48:00;31.32;336.2868;0;0.31;0.02;0.7;0.56
18HU00001_308;FC-10;47;-49.1167;222377;21;06-nov-00;20:48:00;21.27;332.2674;0;0.26;0;0.74;0.61
18HU00001_308;FC-10;47;-49.1167;222378;11;06-nov-00;20:48:00;11.05;331.3742;0;0.26;0;0.8;0.66
18HU00001_308;FC-10;47;-49.1167;222379;5;06-nov-00;20:48:00;5.46;330.481;0;0.25;0;0.82;0.67
18HU00001_309;FC-09;47;-50;222380;73;06-nov-00;22:39:00;74.1;322.4423;8.06;1.25;7.92;0.1;0.08
18HU00001_309;FC-09;47;-50;222381;48;06-nov-00;22:39:00;48.22;331.8208;5.98;1.21;6.63;0.13;0.11
18HU00001_309;FC-09;47;-50;222382;39;06-nov-00;22:39:00;38.82;338.0732;2.1;0.29;0.48;0.31;0.27
18HU00001_309;FC-09;47;-50;222383;29;06-nov-00;22:39:00;29;330.9276;0.81;0.26;0;0.76;0.58
18HU00001_309;FC-09;47;-50;222384;18;06-nov-00;22:39:00;18.39;329.5879;1.4;0.25;0;0.69;0.61
18HU00001_309;FC-09;47;-50;222385;9;06-nov-00;22:39:00;8.8;329.1412;0.85;0.16;0;0.69;0.62
18HU00001_309;FC-09;47;-50;222386;4;06-nov-00;22:39:00;3.69;328.6947;0;0.27;0;0.72;0.65
18HU00001_310;FC-08;47;-50.6667;222387;168;06-nov-00;23:55:00;169.84;316.6366;NaN;NaN;NaN;NaN;NaN
18HU00001_311;FC-07;47;-51;222388;99;07-nov-00;04:53:00;99.6;336.2868;10.56;1.27;10.01;0.04;0.02
18HU00001_311;FC-07;47;-51;222389;75;07-nov-00;04:53:00;76.06;348.7915;8.42;1.2;9.44;0.05;0.03
18HU00001_311;FC-07;47;-51;222390;51;07-nov-00;04:53:00;51.58;366.2087;4.95;1.11;6.44;0.13;0.11
18HU00001_311;FC-07;47;-51;222391;40;07-nov-00;04:53:00;40.56;375.5872;1.05;0.69;2.05;0.24;0.19
18HU00001_311;FC-07;47;-51;222392;30;07-nov-00;04:53:00;29.99;335.8402;0;0.22;0;0.51;0.42
18HU00001_311;FC-07;47;-51;222393;20;07-nov-00;04:53:00;20.58;326.4617;0.94;0.19;0;0.75;0.68
18HU00001_311;FC-07;47;-51;222394;10;07-nov-00;04:53:00;10.19;324.2287;0.9;0.17;0;0.76;0.67
