CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00002_102;SEGB-13;43.2;-50.1667;197983;51;24-apr-00;14:40:00;50.9;353.2574;3.86;1.21;5.15;3.17;3.55
18TL00002_102;SEGB-13;43.2;-50.1667;197984;40;24-apr-00;14:40:00;40.5;357.7234;3.75;1.23;5.4;3.79;4.67
18TL00002_102;SEGB-13;43.2;-50.1667;197985;30;24-apr-00;14:40:00;30.6;400.15;0.16;0.47;0.3;5.41;6.11
18TL00002_102;SEGB-13;43.2;-50.1667;197986;21;24-apr-00;14:40:00;20.7;413.5479;0.12;0.46;0.25;5.26;6.92
18TL00002_102;SEGB-13;43.2;-50.1667;197987;11;24-apr-00;14:40:00;10.8;416.6741;0.13;0.46;0.16;5.78;6.6
18TL00002_102;SEGB-13;43.2;-50.1667;197988;5;24-apr-00;14:40:00;5.3;416.6741;0.11;0.44;0.15;6.12;6.82
18TL00002_127;SEGB-15;42.85;-49.8867;197989;393;24-apr-00;18:26:00;395.7;273.7633;10.56;1.87;15.9;NaN;NaN
18TL00002_127;SEGB-15;42.85;-49.8867;197990;149;24-apr-00;18:26:00;150.5;330.481;6.61;1.14;8.27;NaN;NaN
18TL00002_127;SEGB-15;42.85;-49.8867;197991;100;24-apr-00;18:26:00;100.4;342.5391;NaN;NaN;NaN;NaN;NaN
18TL00002_127;SEGB-15;42.85;-49.8867;197992;75;24-apr-00;18:26:00;75.2;346.1119;7.33;1.83;8.19;0.78;0.63
18TL00002_127;SEGB-15;42.85;-49.8867;197993;50;24-apr-00;18:26:00;50.3;352.3642;6.4;1.18;7.36;1.3;1.08
18TL00002_127;SEGB-15;42.85;-49.8867;197994;39;24-apr-00;18:26:00;39;355.4904;6.38;1.16;7.49;1.36;1.12
18TL00002_127;SEGB-15;42.85;-49.8867;197995;30;24-apr-00;18:26:00;30;360.403;4.76;1.13;5.78;2.66;2.24
18TL00002_127;SEGB-15;42.85;-49.8867;197996;19;24-apr-00;18:26:00;19.1;370.6747;2.67;0.88;3.79;4.68;5.32
18TL00002_127;SEGB-15;42.85;-49.8867;197997;10;24-apr-00;18:26:00;10;394.3443;1.35;0.7;1.25;6.3;7
18TL00002_127;SEGB-15;42.85;-49.8867;197998;4;24-apr-00;18:26:00;4.4;403.2762;1.18;0.63;1.01;6.26;7.05
18TL00002_149;SEGB-17;42.395;-49.6833;197999;1504;24-apr-00;22:58:00;1510.79;292.0738;11.33;1.67;18.24;NaN;NaN
18TL00002_149;SEGB-17;42.395;-49.6833;198800;148;24-apr-00;22:58:00;149;221.065;4.34;0.97;11.1;NaN;NaN
18TL00002_149;SEGB-17;42.395;-49.6833;221001;99;24-apr-00;22:58:00;99.68;245.1812;2.65;0.7;7.33;0.08;0.06
18TL00002_149;SEGB-17;42.395;-49.6833;221002;74;24-apr-00;22:58:00;74.92;261.7053;1.28;0.47;3.74;1.07;0.87
18TL00002_149;SEGB-17;42.395;-49.6833;221003;50;24-apr-00;22:58:00;50.58;264.3848;0.69;0.22;2.76;1.36;1.09
18TL00002_149;SEGB-17;42.395;-49.6833;221004;41;24-apr-00;22:58:00;41.08;270.6372;1.08;0.21;2.43;1.53;1.2
18TL00002_149;SEGB-17;42.395;-49.6833;221005;31;24-apr-00;22:58:00;31.65;284.4816;1.51;0.19;1.19;2.82;2.22
18TL00002_149;SEGB-17;42.395;-49.6833;221006;21;24-apr-00;22:58:00;20.97;285.8214;1.48;0.2;1.17;2.69;2.13
18TL00002_149;SEGB-17;42.395;-49.6833;221007;11;24-apr-00;22:58:00;11.43;286.268;1.39;0.2;1.17;1.98;2.08
18TL00002_149;SEGB-17;42.395;-49.6833;221008;7;24-apr-00;22:58:00;7.23;285.8214;1.36;0.26;1.14;2.67;2.1
18TL00002_171;SEGB-19;42.0817;-49.27;221009;1500;25-apr-00;05:52:00;1506.85;289.3942;11.12;1.22;18.07;NaN;NaN
18TL00002_171;SEGB-19;42.0817;-49.27;221010;150;25-apr-00;05:52:00;151.16;242.055;2.66;0.47;7.4;NaN;NaN
18TL00002_171;SEGB-19;42.0817;-49.27;221011;99;25-apr-00;05:52:00;99.78;254.5597;1.48;0.33;5.15;0.77;0.68
18TL00002_171;SEGB-19;42.0817;-49.27;221012;74;25-apr-00;05:52:00;74.82;246.9676;2.46;0.39;5.67;0.63;0.65
18TL00002_171;SEGB-19;42.0817;-49.27;221013;49;25-apr-00;05:52:00;49.63;252.7733;1.33;0.3;4.63;1.28;1.07
18TL00002_171;SEGB-19;42.0817;-49.27;221014;40;25-apr-00;05:52:00;40.01;256.3461;1.21;0.28;4.37;1.67;1.39
18TL00002_171;SEGB-19;42.0817;-49.27;221015;29;25-apr-00;05:52:00;29.29;257.6859;1.82;0.3;4.04;1.67;1.41
18TL00002_171;SEGB-19;42.0817;-49.27;221016;20;25-apr-00;05:52:00;20.23;259.4723;1.36;0.27;4.13;1.95;1.61
18TL00002_171;SEGB-19;42.0817;-49.27;221017;10;25-apr-00;05:52:00;10.51;261.2586;1.78;0.29;4.06;1.89;1.64
18TL00002_171;SEGB-19;42.0817;-49.27;221018;6;25-apr-00;05:52:00;5.68;260.3654;1.51;0.32;4.08;1.97;1.65
18TL00002_315;SEGB-01;46.5833;-52.9333;197911;47;23-apr-00;05:35:00;46.9;386.3055;1.5;1.28;2.03;3.41;2.9
18TL00002_315;SEGB-01;46.5833;-52.9333;197912;29;23-apr-00;05:35:00;29.45;398.8102;0.42;0.92;0.17;2.62;2.95
18TL00002_315;SEGB-01;46.5833;-52.9333;197913;20;23-apr-00;05:35:00;20.13;400.15;0.41;0.95;0.15;4.5;3.96
18TL00002_315;SEGB-01;46.5833;-52.9333;197914;10;23-apr-00;05:35:00;10.57;401.0432;0.48;0.92;0.14;2.76;2.38
18TL00002_315;SEGB-01;46.5833;-52.9333;197915;6;23-apr-00;05:35:00;6.11;401.0432;0.66;0.97;0.12;2.37;3.06
18TL00002_330;STN27;47.5467;-52.5867;221098;169;29-apr-00;18:36:00;170.32;338.0732;9.73;1.72;8.51;NaN;NaN
