CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU02070_296;FC-03;47;-52.58;255855;75;17-nov-02;00:05:00;75.74;32.652;316.7705;-0.173;8.97;1.23;6.47;0.03
18HU02070_296;FC-03;47;-52.58;255856;50;17-nov-02;00:05:00;50.4;32.292;314.9842;2.141;4.58;0.8;2.63;0.17
18HU02070_296;FC-03;47;-52.58;255857;39;17-nov-02;00:05:00;39.82;32.185;317.0385;2.765;4.9;0.92;2.16;0.29
18HU02070_296;FC-03;47;-52.58;255858;30;17-nov-02;00:05:00;30.17;31.968;313.957;3.466;4.56;0.93;2.3;0.38
18HU02070_296;FC-03;47;-52.58;255859;20;17-nov-02;00:05:00;20.38;31.709;311.6347;4.098;4.2;0.36;1.68;0.57
18HU02070_296;FC-03;47;-52.58;255860;10;17-nov-02;00:05:00;10.48;31.629;310.5182;4.282;3.82;0.31;1.43;0.54
18HU02070_296;FC-03;47;-52.58;255861;6;17-nov-02;00:05:00;5.67;31.626;310.2949;4.285;2.93;0.67;1.21;0.66
18HU02070_297;FC-02;47;-52.705;255862;179;17-nov-02;01:32:00;180.91;33.211;300.0232;-1.097;NaN;NaN;NaN;NaN
18HU02070_298;FC-01;47;-52.8317;255863;99;17-nov-02;02:22:00;99.81;32.71;313.3317;-0.086;6.56;1.39;6.17;0.04
18HU02070_298;FC-01;47;-52.8317;255864;75;17-nov-02;02:22:00;75.87;32.301;314.3143;2.28;6.51;1.59;6.2;0.15
18HU02070_298;FC-01;47;-52.8317;255865;50;17-nov-02;02:22:00;50.55;31.966;309.9376;3.11;2.86;0.91;2.06;0.15
