CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL05601_264;SEGB-03;46.35;-52.7333;259589;40;01-may-05;04:59:00;39.97;32.52;363.5;0.59;1.71;0.41;1.2;1.17
18TL05601_264;SEGB-03;46.35;-52.7333;259590;30;01-may-05;04:59:00;30.1;32.42;360;1.49;1.19;0.3;0.58;0.47
18TL05601_264;SEGB-03;46.35;-52.7333;259591;20;01-may-05;04:59:00;20.16;32.42;359.1;1.54;1.3;0.33;0.62;0.38
18TL05601_264;SEGB-03;46.35;-52.7333;259592;10;01-may-05;04:59:00;10.15;32.41;358.2;1.74;0.97;0.25;0.35;0.28
18TL05601_264;SEGB-03;46.35;-52.7333;259593;5;01-may-05;04:59:00;4.96;32.37;361.3;1.7;0.97;0.31;0.4;0.25
18TL05601_284;SEGB-04;46.2083;-52.6083;259594;124;01-may-05;07:05:00;124.58;33.05;289.8;-0.01;NaN;NaN;NaN;NaN
18TL05601_296;CBAY-01;47.8333;-52.9167;259879;194;09-may-05;03:14:00;196.04;33.06;266.6;-0.19;14.85;1.3;9.52;NaN
18TL05601_296;CBAY-01;47.8333;-52.9167;259880;150;09-may-05;03:14:00;150.9;32.82;320.2;-1.15;5.24;0.68;6.92;NaN
18TL05601_296;CBAY-01;47.8333;-52.9167;259881;100;09-may-05;03:14:00;100.42;32.65;324.2;-1.27;3.72;0.64;6.23;0.27
18TL05601_296;CBAY-01;47.8333;-52.9167;259882;75;09-may-05;03:14:00;75.41;32.53;333.2;-1.24;2.83;0.59;5.9;0.31
18TL05601_296;CBAY-01;47.8333;-52.9167;259883;49;09-may-05;03:14:00;49.69;32.28;348.3;-0.81;1.5;0.44;2.97;0.59
18TL05601_296;CBAY-01;47.8333;-52.9167;259884;41;09-may-05;03:14:00;41.17;32.16;376.9;-0.51;1.68;0.46;1.58;0.2
18TL05601_296;CBAY-01;47.8333;-52.9167;259885;30;09-may-05;03:14:00;29.99;31.98;376.5;0.17;1.04;0.25;0.33;0.12
18TL05601_296;CBAY-01;47.8333;-52.9167;259886;20;09-may-05;03:14:00;19.97;31.85;358.2;1.97;1.11;0.41;0.34;0.09
18TL05601_296;CBAY-01;47.8333;-52.9167;259887;10;09-may-05;03:14:00;9.98;31.84;352.8;2.31;1.15;0.44;0.48;0.04
18TL05601_296;CBAY-01;47.8333;-52.9167;259888;5;09-may-05;03:14:00;5.21;31.84;352.8;2.32;2.45;0.43;4.35;0.06
18TL05601_297;STN27;47.5467;-52.5867;259889;172;09-may-05;07:28:00;173.08;33.14;272;-0.18;9.88;1.3;7.87;NaN
18TL05601_297;STN27;47.5467;-52.5867;259890;149;09-may-05;07:28:00;150.65;32.92;321.5;-0.91;7.9;1.16;6.75;0.26
18TL05601_297;STN27;47.5467;-52.5867;259891;99;09-may-05;07:28:00;99.94;32.67;334.5;-1.37;1.35;0.72;3.62;0.23
18TL05601_297;STN27;47.5467;-52.5867;259892;75;09-may-05;07:28:00;75.15;32.47;365.3;-0.45;1.72;0.46;1.87;0.05
18TL05601_297;STN27;47.5467;-52.5867;259893;49;09-may-05;07:28:00;49.69;32.4;374.7;0.26;1.07;0.26;0.24;0.03
18TL05601_297;STN27;47.5467;-52.5867;259894;40;09-may-05;07:28:00;39.89;32.36;370.2;0.67;0.88;0.27;0.12;0.07
18TL05601_297;STN27;47.5467;-52.5867;259895;30;09-may-05;07:28:00;29.78;32.11;361.7;0.96;0.89;0.31;0.14;0.05
18TL05601_297;STN27;47.5467;-52.5867;259896;20;09-may-05;07:28:00;19.77;32.03;354.2;1.69;0.91;0.28;0.17;0.02
18TL05601_297;STN27;47.5467;-52.5867;259897;10;09-may-05;07:28:00;9.73;32.04;350.1;2.03;1.84;0.52;1.46;0
18TL05601_297;STN27;47.5467;-52.5867;259898;4;09-may-05;07:28:00;4.47;32.03;350.1;2.06;1.11;0.31;0.32;0.02
18TL05601_304;SEGB-05;46.07;-52.5;259595;85;01-may-05;08:24:00;85.95;32.91;254.1;0.76;9.99;2.02;8.57;2.48
18TL05601_304;SEGB-05;46.07;-52.5;259596;75;01-may-05;08:24:00;76.03;32.76;321.5;1.38;3.37;0.85;5.27;1.73
18TL05601_304;SEGB-05;46.07;-52.5;259597;49;01-may-05;08:24:00;49.25;32.59;346.6;2.13;1.51;0.41;0.61;2.69
18TL05601_304;SEGB-05;46.07;-52.5;259598;39;01-may-05;08:24:00;39.78;32.54;353.7;2.24;1.38;0.35;0.17;1.92
