CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
181079022_160;24;43.03333;-65.78333;4306;99;08-aug-79;22:52:00;100;33.424;135.7664;6.765;1.01;8.605
181079022_160;24;43.03333;-65.78333;4307;99;08-aug-79;22:52:00;100;33.4215;254.1154;7.175;1.06;8.63
181079022_160;24;43.03333;-65.78333;4308;74;08-aug-79;22:52:00;75;NaN;255.4552;6.725;0.995;8.755
181079022_160;24;43.03333;-65.78333;4309;50;08-aug-79;22:52:00;50;NaN;252.7756;6.915;1.085;8.79
181079022_160;24;43.03333;-65.78333;4310;50;08-aug-79;22:52:00;50;NaN;257.6882;5.71;0.93;7.395
181079022_160;24;43.03333;-65.78333;4311;40;08-aug-79;22:52:00;40;NaN;275.5522;4.48;0.81;4.565
181079022_160;24;43.03333;-65.78333;4312;30;08-aug-79;22:52:00;30;NaN;282.6978;3.79;0.845;4.665
181079022_160;24;43.03333;-65.78333;4313;20;08-aug-79;22:52:00;20;NaN;292.523;2.54;1.415;2.84
181079022_160;24;43.03333;-65.78333;4314;10;08-aug-79;22:52:00;10;NaN;297.8822;2.33;0.75;2.105
181079022_171;25;42.95;-65.81667;4315;134;09-aug-79;00:34:00;135;33.724;244.2902;6.825;1.06;9.545
181079022_171;25;42.95;-65.81667;4316;134;09-aug-79;00:34:00;135;33.722;246.9698;7.15;1.15;10.72
181079022_171;25;42.95;-65.81667;4317;99;09-aug-79;00:34:00;100;NaN;244.7368;7.23;1.215;10.955
181079022_171;25;42.95;-65.81667;4318;74;09-aug-79;00:34:00;75;NaN;244.2902;7.12;1.165;10.655
181079022_171;25;42.95;-65.81667;4319;50;09-aug-79;00:34:00;50;NaN;247.863;6.56;1.145;9.81
181079022_171;25;42.95;-65.81667;4320;50;09-aug-79;00:34:00;50;NaN;256.3484;6.385;1.17;9.395
181079022_171;25;42.95;-65.81667;4321;30;09-aug-79;00:34:00;30;NaN;265.727;5.365;1.085;7.83
181079022_171;25;42.95;-65.81667;4322;20;09-aug-79;00:34:00;20;NaN;265.727;5.39;1.09;7.9
181079022_171;25;42.95;-65.81667;4323;10;09-aug-79;00:34:00;10;NaN;288.057;3;0.75;3.13
181079022_182;26;42.87167;-65.84333;4324;94;09-aug-79;03:06:00;95;33.5505;233.1252;6.41;1.03;9.265
181079022_182;26;42.87167;-65.84333;4325;94;09-aug-79;03:06:00;95;33.544;248.7562;6.37;1.05;9.235
181079022_182;26;42.87167;-65.84333;4326;74;09-aug-79;03:06:00;75;NaN;249.2028;6.41;1.05;9.155
181079022_182;26;42.87167;-65.84333;4327;50;09-aug-79;03:06:00;50;NaN;256.795;6.265;1.045;9.06
181079022_182;26;42.87167;-65.84333;4328;50;09-aug-79;03:06:00;50;NaN;259.4746;6.335;1.03;8.73
181079022_182;26;42.87167;-65.84333;4329;40;09-aug-79;03:06:00;40;NaN;250.5426;14.2;0.92;7.1
181079022_182;26;42.87167;-65.84333;4330;30;09-aug-79;03:06:00;30;NaN;284.0376;3.955;0.825;4.515
181079022_182;26;42.87167;-65.84333;4331;20;09-aug-79;03:06:00;20;NaN;292.523;2.635;0.725;2.165
181079022_182;26;42.87167;-65.84333;4332;10;09-aug-79;03:06:00;10;NaN;292.0764;1.55;0.58;0.485
181079022_193;27;42.79;-65.875;4333;92;09-aug-79;04:02:00;93;33.3695;260.3678;5.47;0.91;7.165
181079022_193;27;42.79;-65.875;4334;92;09-aug-79;04:02:00;93;33.369;256.795;6.285;1.005;8.135
181079022_193;27;42.79;-65.875;4335;74;09-aug-79;04:02:00;75;NaN;255.4552;6.28;1.02;8.255
181079022_193;27;42.79;-65.875;4336;50;09-aug-79;04:02:00;50;NaN;257.6882;6.44;1.015;8.28
181079022_193;27;42.79;-65.875;4337;50;09-aug-79;04:02:00;50;NaN;260.3678;6.25;1.02;8.305
181079022_193;27;42.79;-65.875;4338;40;09-aug-79;04:02:00;40;NaN;260.8144;6.035;1.13;8.25
181079022_193;27;42.79;-65.875;4339;30;09-aug-79;04:02:00;30;NaN;274.659;5.605;1.04;6.27
181079022_193;27;42.79;-65.875;4340;20;09-aug-79;04:02:00;20;NaN;301.0084;2.155;0.76;0.54
181079022_193;27;42.79;-65.875;4341;10;09-aug-79;04:02:00;10;NaN;306.8142;1.935;0.665;0.345
181079022_204;28;42.70833;-65.905;4342;82;09-aug-79;05:06:00;83;33.1295;258.1348;6.2;1.05;7.895
181079022_204;28;42.70833;-65.905;4343;82;09-aug-79;05:06:00;83;33.1285;259.028;6.545;1.19;8.18
181079022_204;28;42.70833;-65.905;4344;74;09-aug-79;05:06:00;75;NaN;247.863;6.545;1.095;8.44
181079022_204;28;42.70833;-65.905;4345;50;09-aug-79;05:06:00;50;NaN;232.6786;6.5;1.07;8.315
181079022_204;28;42.70833;-65.905;4346;50;09-aug-79;05:06:00;50;NaN;259.4746;6.635;1.12;8.305
181079022_204;28;42.70833;-65.905;4347;40;09-aug-79;05:06:00;40;NaN;259.4746;6.555;1.07;8.255
181079022_204;28;42.70833;-65.905;4348;30;09-aug-79;05:06:00;30;NaN;260.8144;6.525;1.08;8.035
181079022_204;28;42.70833;-65.905;4349;20;09-aug-79;05:06:00;20;NaN;306.3676;3.37;0.88;3.365
181079022_204;28;42.70833;-65.905;4350;10;09-aug-79;05:06:00;10;NaN;303.688;1.02;0.6;0.48
181079022_215;29;42.63167;-65.93333;4351;79;09-aug-79;06:03:00;80;33.2535;252.329;6.49;1.035;8.77
181079022_215;29;42.63167;-65.93333;4352;79;09-aug-79;06:03:00;80;33.2535;254.1154;8.535;1.13;9.535
181079022_215;29;42.63167;-65.93333;4353;74;09-aug-79;06:03:00;75;NaN;247.4164;6.89;1.105;9.47
181079022_215;29;42.63167;-65.93333;4354;50;09-aug-79;06:03:00;50;NaN;246.0766;7.13;1.145;9.57
181079022_215;29;42.63167;-65.93333;4355;50;09-aug-79;06:03:00;50;NaN;256.795;7.015;1.175;9.59
181079022_215;29;42.63167;-65.93333;4356;40;09-aug-79;06:03:00;40;NaN;253.2222;10.3;1.135;9.54
181079022_215;29;42.63167;-65.93333;4357;30;09-aug-79;06:03:00;30;NaN;259.4746;6.675;1.1;9.075
181079022_215;29;42.63167;-65.93333;4358;20;09-aug-79;06:03:00;20;NaN;289.8434;3.55;0.875;4.175
181079022_215;29;42.63167;-65.93333;4359;10;09-aug-79;06:03:00;10;NaN;314.853;2.355;0.67;0.57
181079022_225;3;42.9;-64.27667;4127;110;07-aug-79;05:42:00;111;34.2915;188.0186;12.045;1.45;16.585
181079022_225;3;42.9;-64.27667;4128;110;07-aug-79;05:42:00;111;34.2875;180.4264;10.565;1.385;14.35
181079022_225;3;42.9;-64.27667;4129;99;07-aug-79;05:42:00;100;NaN;188.9118;12.015;1.515;16.5
181079022_225;3;42.9;-64.27667;4130;74;07-aug-79;05:42:00;75;NaN;261.261;7.72;1.365;10.605
181079022_225;3;42.9;-64.27667;4131;50;07-aug-79;05:42:00;50;NaN;271.5328;2.49;1.045;4.71
181079022_225;3;42.9;-64.27667;4132;50;07-aug-79;05:42:00;50;NaN;300.5618;2.465;1.09;4.96
181079022_225;3;42.9;-64.27667;4133;30;07-aug-79;05:42:00;30;NaN;342.5422;0.58;0.665;0.23
181079022_225;3;42.9;-64.27667;4134;20;07-aug-79;05:42:00;20;NaN;326.018;0.705;0.655;0.345
181079022_225;3;42.9;-64.27667;4135;10;07-aug-79;05:42:00;10;NaN;259.9212;0.565;0.51;0.225
181079022_226;30;42.55333;-65.93333;4360;115;09-aug-79;06:56:00;116;34.6295;130.4072;8.48;1.58;14.89
181079022_226;30;42.55333;-65.93333;4361;115;09-aug-79;06:56:00;116;34.6285;150.9508;8.355;1.275;14.83
181079022_226;30;42.55333;-65.93333;4362;99;09-aug-79;06:56:00;100;NaN;185.339;8.09;1.405;13.605
