CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18TL09037_1030;491;47.17117;-62.2515;342367;15.57;13-jun-09;17:47:00;30.73;8.28;328.87624;8.72;NaN;0.01;0.285;0.06;0.485;0.92;NaN;2.093
18TL09037_1030;491;47.17117;-62.2515;342368;5.06;13-jun-09;17:47:00;30.57;9.13;319.40832;8.743;NaN;0;0.27;0.03;0.385;0.84;NaN;1.918
18TL09037_1030;491;47.17117;-62.2515;342369;1.88;13-jun-09;17:47:00;30.58;9.03;319.67628;8.754;320.14521;0.01;0.255;0.03;0.41;0.94;NaN;1.596
18TL09037_1031;501;47.32967;-62.75133;342370;46.11;13-jun-09;20:30:00;31.5;0.02;335.88786;8.547;329.21119;0.095;1.04;6.76;9.47;0.24;NaN;0.594
18TL09037_1031;501;47.32967;-62.75133;342371;25.39;13-jun-09;20:30:00;30.93;4.48;354.95768;8.695;NaN;0.045;0.48;1.47;1.37;0.5;NaN;1.207
18TL09037_1031;501;47.32967;-62.75133;342372;15.37;13-jun-09;20:30:00;30.81;5.34;353.0373;8.728;NaN;0.035;0.425;0.795;0.915;0.68;NaN;1.691
18TL09037_1031;501;47.32967;-62.75133;342373;5.95;13-jun-09;20:30:00;30.14;8.29;330.43934;8.75;346.3383;0.015;0.25;0.08;1.53;1.81;NaN;4.596
18TL09037_1031;501;47.32967;-62.75133;342374;1.49;13-jun-09;20:30:00;30.09;8.53;332.0471;8.776;332.60535;0.015;0.235;0.07;1.53;2;NaN;3.897
18TL09037_1032;511;47.4975;-63.25017;342375;71.19;13-jun-09;23:37:00;31.68;-0.99;304.53654;8.436;296.989;0.09;1.145;5.385;7.8;0.16;NaN;0.458
18TL09037_1032;511;47.4975;-63.25017;342376;51.66;13-jun-09;23:37:00;31.63;-1;317.9792;8.451;NaN;0.09;1.135;7.215;8.695;0.18;NaN;0.487
18TL09037_1032;511;47.4975;-63.25017;342377;26.67;13-jun-09;23:37:00;31.11;2.81;370.05276;8.644;NaN;0.06;0.615;2.44;2;0.47;NaN;1.072
18TL09037_1032;511;47.4975;-63.25017;342378;16.56;13-jun-09;23:37:00;30.08;6.24;344.3286;8.732;NaN;0.045;0.335;1.53;1.91;1.115;NaN;2.376
18TL09037_1032;511;47.4975;-63.25017;342379;6.74;13-jun-09;23:37:00;28.51;9.87;328.4743;8.77;NaN;0.015;0.12;0.14;3.915;1.69;NaN;4.137
18TL09037_1032;511;47.4975;-63.25017;342380;2.18;13-jun-09;23:37:00;28.55;10.04;329.01022;8.785;337.80824;0.01;0.105;0.07;3.9;1.77;NaN;4.136
18TL09037_1033;521;47.66;-63.7505;342381;61.67;14-jun-09;02:03:00;31.91;-0.34;290.7366;8.449;284.43954;0.19;1.345;11.905;19.485;0.16;NaN;0.454
18TL09037_1033;521;47.66;-63.7505;342382;51.26;14-jun-09;02:03:00;31.56;-0.28;337.00436;8.518;NaN;0.13;1.095;8.435;9.525;0.06;NaN;0.382
18TL09037_1033;521;47.66;-63.7505;342383;26.38;14-jun-09;02:03:00;30.83;1.1;358.03922;8.581;NaN;0.13;0.91;6.415;5.72;0.22;NaN;0.684
18TL09037_1033;521;47.66;-63.7505;342384;16.76;14-jun-09;02:03:00;29.87;3.2;354.6004;8.652;NaN;0.115;0.665;4.19;3.425;0.59;NaN;1.483
18TL09037_1033;521;47.66;-63.7505;342385;6.94;14-jun-09;02:03:00;28.19;10.61;326.55392;8.739;NaN;0.025;0.1;0.23;4.42;1.89;NaN;4.331
18TL09037_1033;521;47.66;-63.7505;342386;1.49;14-jun-09;02:03:00;28.17;11.04;324.9015;8.77;327.06751;0.015;0.08;0.065;4.65;1.91;NaN;4.427
18TL09037_1034;531;47.7395;-63.99983;342387;76.24;14-jun-09;03:47:00;32.29;0.07;253.80278;8.374;249.02416;0.08;0.555;3.25;3.15;0.08;NaN;0.397
18TL09037_1034;531;47.7395;-63.99983;342388;51.06;14-jun-09;03:47:00;31.38;-0.08;336.11116;8.502;NaN;0.2;1.54;13.68;26.67;0.06;NaN;0.387
18TL09037_1034;531;47.7395;-63.99983;342389;26.87;14-jun-09;03:47:00;30.42;2.93;367.06054;8.665;NaN;0.2;1.15;9.655;12.955;0.29;NaN;0.797
18TL09037_1034;531;47.7395;-63.99983;342390;16.16;14-jun-09;03:47:00;29.3;4.28;343.56938;8.645;NaN;0.1;0.565;4.09;5.495;0.22;NaN;1.03
18TL09037_1034;531;47.7395;-63.99983;342391;7.44;14-jun-09;03:47:00;28.17;9.42;355.85088;8.794;NaN;0.01;0.05;0.11;1.325;0.77;NaN;7.437
18TL09037_1034;531;47.7395;-63.99983;342392;1.59;14-jun-09;03:47:00;27.63;11.04;353.4839;8.816;355.96253;0.01;0.045;0.045;1.405;0.78;NaN;8.884
18TL09037_1035;541;47.82933;-64.2475;342393;37.18;14-jun-09;06:20:00;30.96;0.81;336.11116;8.601;331.73448;0.18;0.955;7.675;10.93;0.06;NaN;0.69
18TL09037_1035;541;47.82933;-64.2475;342394;26.57;14-jun-09;06:20:00;29.26;3.96;329.72478;8.635;NaN;0.085;0.545;3.445;6.72667;0.17;NaN;1.077
18TL09037_1035;541;47.82933;-64.2475;342395;16.66;14-jun-09;06:20:00;28.24;6.41;329.45682;8.656;NaN;0.11;0.51;5.47;8.33;0.37;NaN;1.985
18TL09037_1035;541;47.82933;-64.2475;342396;6.15;14-jun-09;06:20:00;27.5;10.47;329.90342;8.792;NaN;0.015;0.05;0.29;0;0.5;NaN;1.81
18TL09037_1035;541;47.82933;-64.2475;342397;1.39;14-jun-09;06:20:00;27.49;10.83;327.71508;8.814;327.1345;0.005;0.035;0.07;0;0.4;NaN;1.88
18TL09037_1036;561;47.93083;-65.24333;342404;69.9;14-jun-09;13:47:00;31.82;-0.22;289.48612;8.427;NaN;0.135;1.17;8.96;19.115;0.09;NaN;0.516
18TL09037_1036;561;47.93083;-65.24333;342405;50.67;14-jun-09;13:47:00;31.16;-0.46;296.58706;8.389;NaN;0.23;1.435;12.4;22.27;0.07;NaN;0.53
18TL09037_1036;561;47.93083;-65.24333;342406;24.89;14-jun-09;13:47:00;29.76;2.2;341.55968;8.534;NaN;0.21;0.965;7.585;11.795;0.11;NaN;0.802
18TL09037_1036;561;47.93083;-65.24333;342407;15.27;14-jun-09;13:47:00;28.2;5.8;329.90342;8.609;NaN;0.125;0.535;4.725;6.27;0.31;NaN;1.216
18TL09037_1036;561;47.93083;-65.24333;342408;5.65;14-jun-09;13:47:00;27;10.43;323.38306;8.755;NaN;0.025;0.075;0.38;1.305;0.77;NaN;1.746
18TL09037_1036;561;47.93083;-65.24333;342409;1.49;14-jun-09;13:47:00;27;10.45;324.05296;8.788;324.16461;0.025;0.055;0.155;1.105;0.78;NaN;1.442
18TL09037_1037;611;47.499;-64.66667;342415;21.52;15-jun-09;08:21:00;28.51;5.43;285.10944;8.58;288.19098;0.07;0.41;1.17;1.3;1.41;NaN;1.708
18TL09037_1037;611;47.499;-64.66667;342416;6.64;15-jun-09;08:21:00;27.38;11.69;311.41418;8.788;NaN;0.01;0.045;0.05;0.31;1.09;NaN;1.992
18TL09037_1037;611;47.499;-64.66667;342417;1.19;15-jun-09;08:21:00;27.38;11.67;311.99476;8.804;313.91514;0.015;0.04;0.075;0.345;1.19;NaN;1.974
