CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU10070_1136;81;47.58217;-59.34417;344728;25.09;09-nov-10;05:19:00;31.54;7.17;311.5035;8.24;6.889;0.61;0.198;0.155;1;NaN;9;1.38;1;NaN;9;0.37;1;NaN;9;1.87;1;256;3.73;0.74
18HU10070_1136;81;47.58217;-59.34417;344727;48.78;09-nov-10;05:19:00;32.04;4.91;312.21806;8.201;6.914;0.22;0.106;0.19;1;NaN;9;3.765;1;NaN;9;0.555;1;NaN;9;3.04;1;256;6.78;1.24
18HU10070_1136;81;47.58217;-59.34417;344726;99.54;09-nov-10;05:19:00;32.66;1.66;312.30738;8.136;7.148;0.045;0.041;0.055;1;NaN;9;7.155;1;NaN;9;0.805;1;NaN;9;5.52;1;256;8.89;1.30
18HU10070_1136;81;47.58217;-59.34417;344725;199.42;09-nov-10;05:19:00;34.09;5.22;209.72336;8.036;4.778;NaN;0.034;0.02;1;NaN;9;16.355;1;NaN;9;1.22;1;NaN;9;13.775;1;256;13.41;1.19
18HU10070_1136;81;47.58217;-59.34417;344724;259.65;09-nov-10;05:19:00;34.79;6.8;165.50996;8.016;3.7075;NaN;0.025;0.035;1;NaN;9;21.125;1;NaN;9;1.43;1;NaN;9;18.095;1;256;14.77;1.17
18HU10070_1137;91;47.435;-59.55933;344741;1.59;09-nov-10;07:36:00;31.09;7.76;310.69962;8.189;6.849;0.845;0.3;0.07;1;NaN;9;1.035;1;NaN;9;0.33;1;NaN;9;2.27667;1;256;3.14;0.45
18HU10070_1137;91;47.435;-59.55933;344740;4.76;09-nov-10;07:36:00;31.08;7.76;310.74428;8.193;6.839;0.835;0.305;0.075;1;NaN;9;1.1;1;NaN;9;0.34;1;NaN;9;2.395;1;256;3.24;0.46
18HU10070_1137;91;47.435;-59.55933;344739;14.97;09-nov-10;07:36:00;31.13;7.67;310.02972;8.196;6.831;0.655;0.259;0.075;1;NaN;9;1.17;1;NaN;9;0.35;1;NaN;9;2.55;1;256;3.34;0.46
18HU10070_1137;91;47.435;-59.55933;344738;24.49;09-nov-10;07:36:00;31.38;6.93;306.68022;8.193;6.803;0.39;0.147;0.1;1;NaN;9;1.685;1;NaN;9;0.395;1;NaN;9;2.5;1;256;4.27;0.67
18HU10070_1137;91;47.435;-59.55933;344737;49.18;09-nov-10;07:36:00;32.31;2.51;310.87826;8.114;6.994;0.07;0.056;0.035;1;NaN;9;5.795;1;NaN;9;0.705;1;NaN;9;4.41;1;256;8.22;1.31
